run_id,config_label,baseline_variant,variant,filename,base_property_result,variant_property_result,base_total_time_s,variant_total_time_s,time_ratio_variant_over_base,delta_total_time_s,comparison
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_4_e2_2799_e2_2251.lus,Safe,Safe,4.970000,4.995000,1.005030,0.025000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_6.lus,Safe,Safe,0.440000,0.460000,1.045455,0.020000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_all.lus,Safe,Safe,0.225000,0.235000,1.044444,0.010000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_9_e7_1843.lus,Safe,Safe,0.097000,0.091000,0.938144,-0.006000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_8.lus,Safe,Safe,289.526000,0.838000,0.002894,-288.688000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_10_e7_3861_e2_1020.lus,Unsafe,Unsafe,0.024000,0.024000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_6_e2_3302.lus,Safe,Safe,0.520000,0.548000,1.053846,0.028000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_3_e1_4783_e1_3755.lus,Safe,Safe,0.071000,0.071000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_all_e2_2924_e2_1767.lus,Unsafe,Unsafe,0.123000,0.079000,0.642276,-0.044000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_all_e7_4065.lus,Unsafe,Unsafe,0.024000,0.025000,1.041667,0.001000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_1a_e2_284_e7_998.lus,Unsafe,Timeout,0.130000,0.074000,,,regressed
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_10_e3_3429.lus,Safe,Safe,0.060000,0.063000,1.050000,0.003000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_1b_e7_3191_e2_1864.lus,Unsafe,Unsafe,0.020000,0.020000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_13_e3_1418_e3_2761.lus,Timeout,Safe,0.205000,3.028000,,,newly_solved
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_10_e1_3587_e3_2749.lus,Safe,Safe,0.086000,0.091000,1.058140,0.005000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_a3_e1_3233_e2_2392.lus,Safe,Safe,0.111000,0.107000,0.963964,-0.004000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_10_e3_144_e7_523.lus,Unsafe,Unsafe,0.022000,0.024000,1.090909,0.002000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_14_e3_5120.lus,Timeout,Timeout,,,,,unsolved_both
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_6.lus,Safe,Safe,0.060000,0.062000,1.033333,0.002000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_1b_e7_3191_e7_2146.lus,Unsafe,Unsafe,0.051000,0.020000,0.392157,-0.031000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_3_e1_2217_e3_1200.lus,Safe,Timeout,2.115000,0.826000,,,regressed
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460_e7_471.lus,Unsafe,Unsafe,0.020000,0.020000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_11_e1_2450_e3_2330.lus,Timeout,Timeout,,,,,unsolved_both
