run_id,config_label,baseline_variant,filename,base__property_result,base__frame_sizes,base__total_time,base__k,base__solver,base__max_memory(MB),base__execution_time(s),base__cpu_time(s),base__exit_code,base__timed_out,asc_l1l2__property_result,asc_l1l2__frame_sizes,asc_l1l2__total_time,asc_l1l2__k,asc_l1l2__solver,asc_l1l2__max_memory(MB),asc_l1l2__execution_time(s),asc_l1l2__cpu_time(s),asc_l1l2__exit_code,asc_l1l2__timed_out,desc_l2l1__property_result,desc_l2l1__frame_sizes,desc_l2l1__total_time,desc_l2l1__k,desc_l2l1__solver,desc_l2l1__max_memory(MB),desc_l2l1__execution_time(s),desc_l2l1__cpu_time(s),desc_l2l1__exit_code,desc_l2l1__timed_out,pic3__property_result,pic3__frame_sizes,pic3__total_time,pic3__k,pic3__solver,pic3__max_memory(MB),pic3__execution_time(s),pic3__cpu_time(s),pic3__exit_code,pic3__timed_out,base_x3__property_result,base_x3__frame_sizes,base_x3__total_time,base_x3__k,base_x3__solver,base_x3__max_memory(MB),base_x3__execution_time(s),base_x3__cpu_time(s),base_x3__exit_code,base_x3__timed_out
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_3_e8_33_e2_1010.lus,Safe,1,0.034,2,27,33.64,0.52,0.05,0,false,Safe,1,0.035,2,26,46.00,0.53,0.06,0,false,Safe,1,0.034,2,27,33.96,0.52,0.05,0,false,Safe,1,0.034,2,27,89.47,0.53,0.12,0,false,Safe,1,0.038,2,27,99.18,0.53,0.14,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_3_e4_987_e2_80.lus,Timeout,"29 27 25 21 19 17 16 15 14 13 12 11
                                            10 9 8 7 6 5 4 3",280.616,20,47729,205.37,300.23,65.36,30,true,Unsafe,56 36 11,41.973,3,7747,119.25,42.46,41.50,40,false,Unsafe,116 98 64 9,242.272,4,25095,292.14,242.77,241.06,40,false,Unsafe,7 5 3 2,1.199,4,1114,313.53,55.81,132.01,40,false,Timeout,39 37 35 30 26 22 20 19 18 16 15,298.730,11,41502,610.65,300.21,219.81,30,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_4_e8_118_e3_514.lus,Unsafe,,0.013,0,2,32.41,0.52,0.04,40,false,Unsafe,,0.013,0,2,32.75,0.54,0.04,40,false,Unsafe,,0.013,0,2,32.41,0.42,0.04,40,false,Unsafe,,0.012,0,2,20.49,0.42,0.06,40,false,Unsafe,,0.012,0,2,60.41,0.43,0.07,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/fast_1_e7_2044.lus,Unsafe,,0.023,0,2,34.30,0.53,0.06,40,false,Unsafe,,0.023,0,2,44.82,0.54,0.06,40,false,Unsafe,,0.023,0,2,21.34,0.53,0.07,40,false,Unsafe,,0.023,0,2,99.93,0.52,0.11,40,false,Unsafe,,0.023,0,2,64.13,0.53,0.11,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_4_e2_968.lus,Timeout,5 3 1,0.437,3,463,357.00,302.27,1.27,1,true,Unsafe,39 20 4,21.753,3,5024,93.17,22.26,21.44,40,false,Unsafe,42 27 10 3,21.532,4,5531,93.48,21.95,21.21,40,false,Unsafe,89 87 64 33,33.691,4,12086,257.64,34.16,81.35,40,false,Timeout,5 3 1,0.472,3,463,719.43,300.21,262.00,30,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_2.lus,Safe,"125 123 120 117 112 106 98 88 76 62
                                            45 23",95.707,13,33027,144.46,96.17,94.76,0,false,Safe,19 15 13 12 11 10 9 8 7 6 5 3,146.936,13,45886,187.95,147.35,145.52,0,false,Safe,"125 121 118 114 111 107 100 92 82
                                            70 56 40 20",153.207,14,44806,183.86,153.67,151.90,0,false,Safe,18 16 14 11 9 8 7 6 5 4 3 1,117.504,12,32112,411.61,132.36,304.14,0,false,Safe,17 14 11 9 8 7 6 5 4 3 2 0,142.150,12,36311,473.37,155.98,354.94,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_6_e3_294_e5_979.lus,Unsafe,17 4,1.111,2,853,50.91,1.58,1.12,40,false,Unsafe,11 2,0.702,2,523,49.54,1.14,0.71,40,false,Unsafe,10 1,0.653,2,493,48.63,1.14,0.66,40,false,Unsafe,15 4,0.744,2,653,109.52,1.15,2.20,40,false,Unsafe,17 4,1.314,2,853,115.52,1.78,3.94,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_3_e3_1275_e5_846.lus,Unsafe,93 88 41 9,279.546,4,23967,332.52,280.03,279.20,40,false,Timeout,42 37 32 23 21 19 18 17 16 15,252.693,10,45586,254.15,302.26,1.23,1,true,Unsafe,61 43 10 4,85.133,4,11917,170.89,85.61,84.39,40,false,Unsafe,7 4 3 2,0.970,4,965,541.39,132.71,242.91,40,false,Timeout,"30 27 25 23 21 18 17 16 15 14 13 12
                                            11 10 9",281.481,15,35493,632.16,300.28,231.87,30,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_5.lus,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/speed2_e8_449_e8_517.lus,Safe,5 3,0.125,3,145,46.21,0.62,0.13,0,false,Safe,7 4,0.146,3,190,46.96,0.63,0.15,0,false,Safe,5 3,0.124,3,144,46.24,0.62,0.13,0,false,Safe,5 3,0.137,3,145,100.75,0.63,0.45,0,false,Safe,5 3,0.142,3,145,102.80,0.63,0.42,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/speed2_e7_223_e8_329.lus,Safe,4 3,0.111,3,138,46.12,0.53,0.12,0,false,Safe,3 2,0.105,3,114,34.21,0.64,0.14,0,false,Safe,3 2,0.091,3,112,45.96,0.53,0.10,0,false,Safe,4 3,0.112,3,138,102.75,0.63,0.30,0,false,Safe,4 3,0.118,3,138,100.35,0.63,0.35,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/PRODUCER_CONSUMMER_luke_2_e7_1068_e8_1019.lus,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/fast_2_e8_460_e8_1920.lus,Safe,1 0,0.256,3,239,47.63,0.74,0.28,0,false,Safe,2 1,0.250,3,233,48.51,0.73,0.26,0,false,Safe,2 1,0.254,3,238,48.13,0.73,0.27,0,false,Safe,1 0,0.262,3,239,105.27,0.73,0.77,0,false,Safe,1 0,0.270,3,239,104.99,0.73,0.81,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/speed_e7_207_e7_538.lus,Safe,0,0.026,2,12,44.34,0.53,0.04,0,false,Safe,0,0.025,2,12,44.21,0.52,0.04,0,false,Safe,0,0.025,2,12,45.21,0.52,0.04,0,false,Safe,0,0.025,2,12,59.41,0.52,0.08,0,false,Safe,0,0.026,2,12,94.94,0.52,0.08,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_3_e3_1275_e2_454.lus,Safe,5 3,0.187,3,173,47.54,0.62,0.20,0,false,Safe,10 6,0.478,3,485,49.07,0.94,0.50,0,false,Safe,13 9,0.489,3,519,48.94,0.93,0.50,0,false,Safe,5 3,0.193,3,173,104.12,0.63,0.64,0,false,Safe,5 3,0.202,3,173,103.86,0.63,0.61,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/fast_2_e7_2526.lus,Unsafe,,0.026,0,2,43.41,0.53,0.06,40,false,Unsafe,,0.027,0,2,43.26,0.53,0.07,40,false,Unsafe,,0.026,0,2,21.64,0.54,0.09,40,false,Unsafe,,0.026,0,2,94.99,0.52,0.12,40,false,Unsafe,,0.027,0,2,90.80,0.53,0.13,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_4_e3_1091_e2_1317.lus,Safe,5 3,0.189,3,173,48.00,0.62,0.20,0,false,Safe,10 6,0.456,3,485,48.91,0.94,0.46,0,false,Safe,13 9,0.471,3,519,48.66,0.95,0.49,0,false,Safe,5 3,0.192,3,173,104.67,0.63,0.63,0,false,Safe,5 3,0.217,3,173,104.12,0.63,0.65,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/fast_2_e7_2526_e7_2736.lus,Unsafe,,0.027,0,2,43.88,0.54,0.07,40,false,Unsafe,,0.026,0,2,21.38,0.54,0.06,40,false,Unsafe,,0.026,0,2,43.59,0.55,0.07,40,false,Unsafe,,0.026,0,2,95.62,0.53,0.13,40,false,Unsafe,,0.028,0,2,91.80,0.54,0.14,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_4_e2_968_e7_860.lus,Unsafe,85 69 38 23 8,65.146,5,13829,149.72,65.63,64.54,40,false,Unsafe,58 41 24 10,32.551,4,8598,108.17,33.05,32.13,40,false,Timeout,68 65 63 60 57 55 53 51 49 45 31,267.418,11,47029,264.27,302.26,1.23,1,true,Unsafe,28 26 19 14 11 10 9 8 7 6 5 4,85.615,12,26546,396.16,86.05,202.14,40,false,Unsafe,9 6 4 3 2,4.475,5,3518,459.61,122.06,200.13,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_4_e7_592_e3_442.lus,Unsafe,,0.012,0,2,32.35,0.52,0.04,40,false,Unsafe,,0.014,0,2,32.63,0.53,0.04,40,false,Unsafe,,0.013,0,2,32.91,0.52,0.04,40,false,Unsafe,,0.012,0,2,59.48,0.53,0.07,40,false,Unsafe,,0.012,0,2,59.66,0.52,0.07,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_5_e7_244.lus,Safe,57 55 51 49 47 45 43 40 38 31 21 11,58.863,13,27842,119.53,59.29,58.22,0,false,Safe,"110 108 104 98 91 84 75 66 55 42 29
                                            14",122.508,13,38610,142.42,123.03,121.40,0,false,Safe,37 36 33 30 27 24 19 18 15 11 6 3,131.093,13,42176,142.61,131.54,130.15,0,false,Safe,35 33 30 27 26 22 18 14 11 6 3,54.599,12,21527,274.55,55.22,162.14,0,false,Safe,48 46 42 40 38 36 34 31 30 25 17 9,71.657,13,26540,311.43,72.13,213.52,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/fast_1_e8_747_e8_1041.lus,Safe,2 1,0.170,3,171,47.16,0.62,0.19,0,false,Safe,2 1,0.149,3,151,47.04,0.64,0.17,0,false,Safe,2 1,0.148,3,154,47.45,0.63,0.17,0,false,Safe,2 1,0.174,3,171,103.04,0.63,0.48,0,false,Safe,2 1,0.185,3,171,102.40,0.63,0.55,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/speed2_e8_449.lus,Safe,1 0,0.072,3,86,33.99,0.62,0.08,0,false,Safe,3 2,0.093,3,117,46.08,0.53,0.11,0,false,Safe,1 0,0.068,3,82,46.33,0.54,0.08,0,false,Safe,1 0,0.072,3,86,100.38,0.52,0.22,0,false,Safe,1 0,0.075,3,86,101.31,0.52,0.22,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_4_e3_57.lus,Unsafe,,0.019,0,2,20.34,0.53,0.06,40,false,Unsafe,,0.013,0,2,20.34,0.42,0.04,40,false,Unsafe,,0.013,0,2,32.91,0.52,0.04,40,false,Unsafe,,0.012,0,2,20.86,0.43,0.07,40,false,Unsafe,,0.013,0,2,60.41,0.53,0.08,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_1_e8_725_e1_919.lus,Safe,1,0.048,2,23,44.00,0.54,0.09,0,false,Safe,1,0.050,2,23,45.32,0.53,0.07,0,false,Safe,1,0.057,2,23,43.15,0.53,0.08,0,false,Safe,1,0.049,2,23,98.53,0.53,0.16,0,false,Safe,1,0.050,2,23,101.92,0.52,0.17,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_all_e1_618.lus,Unsafe,3,0.078,1,61,45.81,0.52,0.10,40,false,Unsafe,4,0.086,1,65,46.15,0.52,0.11,40,false,Unsafe,2,0.068,1,47,46.34,0.52,0.09,40,false,Unsafe,3,0.081,1,61,101.51,0.52,0.26,40,false,Unsafe,3,0.084,1,61,95.07,0.53,0.28,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_1.lus,Safe,2,0.047,2,39,46.05,0.52,0.06,0,false,Safe,2,0.044,2,37,46.03,0.52,0.06,0,false,Safe,2,0.047,2,39,46.52,0.52,0.06,0,false,Safe,2,0.047,2,39,19.97,0.52,0.15,0,false,Safe,2,0.049,2,39,101.06,0.52,0.16,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_3_e3_1275_e4_164.lus,Timeout,5 3 1,0.437,3,463,365.19,300.24,96.50,30,true,Unsafe,49 30 4,38.898,3,7359,117.00,39.32,38.45,40,false,Unsafe,54 40 10 3,49.762,4,8594,126.25,50.27,49.26,40,false,Unsafe,5 3 1,0.455,3,463,299.93,51.82,97.63,40,false,Timeout,"21 19 18 17 16 15 14 13 12 11 10 9
                                            8 7",292.926,14,41298,672.00,302.26,1.70,1,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/fast_2_e8_976.lus,Safe,2 1,0.293,3,273,47.66,0.73,0.30,0,false,Safe,2 1,0.329,3,250,47.88,0.85,0.34,0,false,Safe,2 1,0.277,3,255,48.00,0.73,0.28,0,false,Safe,2 1,0.317,3,273,103.83,0.73,0.89,0,false,Safe,2 1,0.331,3,273,104.18,0.73,0.98,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/Gas.lus,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_4_e7_592.lus,Safe,1 0,0.088,3,104,44.46,0.52,0.10,0,false,Safe,2,0.041,2,33,43.63,0.52,0.06,0,false,Safe,1 0,0.088,3,104,46.41,0.53,0.10,0,false,Safe,1 0,0.075,3,75,99.98,0.52,0.19,0,false,Safe,1 0,0.093,3,104,100.41,0.52,0.27,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_4_e3_1091_e1_1044.lus,Unsafe,133 121 97 88 79 68 55 38 18,195.527,9,38351,241.48,195.99,194.32,40,false,Unsafe,74 65 39 34 26 21 14 6,155.330,8,27747,199.84,155.81,154.00,40,false,Unsafe,84 73 47 19 8,93.500,5,15973,182.04,94.01,92.68,40,false,Unsafe,68 65 55 37 14,23.360,5,9545,226.98,23.74,68.84,40,false,Unsafe,22 19 14 12 8 6 3,27.836,7,8957,309.95,67.29,119.46,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_1_e2_1102_e7_1163.lus,Safe,9 7 5,0.845,4,871,51.16,1.35,0.84,0,false,Safe,13 10 8,1.002,4,1058,51.12,1.46,0.99,0,false,Safe,2 1 0,0.626,4,660,50.45,1.04,0.62,0,false,Safe,3 1 0,0.691,4,698,110.72,1.16,2.16,0,false,Safe,9 7 5,1.005,4,871,113.39,1.47,2.99,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/cd.lus,Safe,40 37 35 33 30 26 20 11,10.169,9,10001,70.88,10.59,10.06,0,false,Safe,62 59 55 51 46 40 31 18,15.512,9,14004,78.51,15.94,15.28,0,false,Safe,67 64 62 60 56 50 40 21,10.850,9,10490,72.83,11.29,10.71,0,false,Safe,31 28 26 24 21 17 12 6,11.086,9,9102,168.44,11.82,33.50,0,false,Safe,39 36 34 32 29 25 19 10,12.191,9,9561,168.30,12.57,36.26,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_2_e1_1116_e7_1440.lus,Unsafe,91 85 79 75 69 62 46 38 28 18 9,253.934,11,44154,235.96,254.40,252.33,40,false,Unsafe,36 27 19 16 11 5,20.512,6,9985,92.89,21.01,20.21,40,false,Unsafe,38 21 10,6.727,3,3951,70.59,7.15,6.64,40,false,Unsafe,24 12 4,4.555,3,2401,143.33,5.24,14.17,40,false,Unsafe,25 13 4,6.014,3,2737,150.33,6.80,15.33,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/PRODUCER_CONSUMER_1.lus,Safe,2,0.056,2,49,46.26,0.52,0.07,0,false,Safe,2,0.056,2,47,46.16,0.53,0.08,0,false,Safe,2,0.055,2,49,46.29,0.53,0.08,0,false,Safe,2,0.057,2,49,101.40,0.52,0.18,0,false,Safe,2,0.060,2,49,100.59,0.52,0.20,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_4_e2_968_e4_801.lus,Timeout,37 35 27 22 19 15 13 11 9 7,264.388,10,37917,215.56,302.30,1.28,1,true,Unsafe,44 28 10,21.881,3,5286,97.34,22.38,21.58,40,false,Unsafe,71 53 37 8,47.088,4,10936,128.79,47.63,46.46,40,false,Unsafe,8 6 4,0.781,3,747,234.75,25.20,59.67,40,false,Unsafe,7 5 3 2,1.166,4,1073,412.44,94.40,164.38,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_6.lus,Safe,31 29 25 23 20 17 15 13 10 7 6 5 2,104.724,14,33600,129.03,105.13,103.79,0,false,Safe,87 85 82 81 78 74 65 55 40 20,47.441,11,21264,107.09,47.93,46.93,0,false,Safe,"116 115 112 106 100 93 83 75 64 52
                                            39 27 12",172.810,14,49706,175.42,173.31,171.33,0,false,Safe,20 18 14 12 9 7 6 4 3,18.707,9,11716,213.80,23.75,69.21,0,false,Safe,31 29 25 23 20 17 15 13 10 7 6 5 2,102.290,13,30510,341.05,129.78,385.47,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_all_e3_1068_e1_178.lus,Unsafe,,0.013,0,2,32.90,0.52,0.04,40,false,Unsafe,,0.014,0,2,32.78,0.53,0.04,40,false,Unsafe,,0.014,0,2,33.15,0.52,0.04,40,false,Unsafe,,0.013,0,2,60.51,0.42,0.07,40,false,Unsafe,,0.014,0,2,59.43,0.52,0.07,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_1_e2_1102_e3_961.lus,Safe,14 12,0.507,3,483,48.95,0.94,0.51,0,false,Safe,11 10 8 4,1.332,5,1470,52.45,1.78,1.32,0,false,Safe,16 12,0.659,3,657,49.59,1.18,0.69,0,false,Safe,13 11,0.513,3,464,107.71,1.04,1.66,0,false,Safe,14 12,0.545,3,483,107.29,1.04,1.63,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_3_e1_586.lus,Unsafe,0,0.026,1,9,45.96,0.52,0.05,40,false,Unsafe,0,0.057,1,9,44.63,0.55,0.09,40,false,Unsafe,0,0.027,1,9,42.29,0.53,0.06,40,false,Unsafe,0,0.026,1,9,64.10,0.52,0.10,40,false,Unsafe,0,0.033,1,9,100.16,0.52,0.13,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_3_e4_987_e1_1115.lus,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_1.lus,Safe,8 5 4 2,1.454,5,1569,52.66,1.87,1.43,0,false,Safe,10 7 4,0.973,4,1068,52.37,1.45,0.96,0,false,Safe,14 10,0.673,3,695,49.88,1.15,0.69,0,false,Safe,8 5 3,1.137,4,1094,116.24,1.46,3.16,0,false,Safe,8 5 4 2,1.670,5,1569,117.87,2.09,4.96,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/speed2_e8_449_e7_353.lus,Safe,1 0,0.093,3,108,46.12,0.52,0.10,0,false,Safe,2,0.047,2,37,46.21,0.52,0.06,0,false,Safe,2 0,0.124,3,162,46.21,0.62,0.13,0,false,Safe,1 0,0.096,3,108,49.38,0.53,0.26,0,false,Safe,1 0,0.097,3,108,100.33,0.53,0.29,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_1_e1_846_e3_1060.lus,Safe,9 7 5,0.626,4,664,49.37,1.04,0.63,0,false,Safe,9 6 5,0.782,4,857,50.20,1.24,0.78,0,false,Safe,9 7 6,0.723,4,738,50.04,1.15,0.72,0,false,Safe,10 8 6,0.847,4,768,111.18,1.38,2.66,0,false,Safe,9 7 5,0.700,4,664,110.43,1.16,2.17,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_2_e1_1116_e2_617.lus,Safe,8 6 2,0.931,4,1047,51.41,1.36,0.92,0,false,Safe,5 4 3 1,0.964,5,1165,51.48,1.45,0.95,0,false,Safe,17 11,0.767,3,829,49.82,1.26,0.78,0,false,Safe,6 4 1,0.883,4,919,112.38,1.36,2.67,0,false,Safe,8 6 2,1.118,4,1047,112.82,1.57,3.28,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_5_e3_661.lus,Unsafe,8 1,0.649,2,447,48.98,1.14,0.66,40,false,Unsafe,8 1,0.667,2,447,48.90,1.14,0.69,40,false,Unsafe,8 1,0.660,2,455,49.51,1.15,0.68,40,false,Unsafe,8 1,0.708,2,447,109.39,1.15,2.16,40,false,Unsafe,8 1,0.739,2,447,108.75,1.16,2.23,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_3_e8_33_e7_220.lus,Safe,2 1,0.075,3,93,45.91,0.52,0.09,0,false,Safe,2 1,0.074,3,90,46.13,0.53,0.09,0,false,Safe,2 1,0.072,3,91,46.38,0.53,0.09,0,false,Safe,2 1,0.076,3,93,100.35,0.52,0.23,0,false,Safe,2 1,0.078,3,93,99.46,0.52,0.24,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_5_e2_405_e3_473.lus,Unsafe,8 1,0.500,2,391,48.76,0.94,0.51,40,false,Unsafe,8 1,0.525,2,391,47.77,0.93,0.54,40,false,Unsafe,8 1,0.541,2,399,48.92,1.04,0.56,40,false,Unsafe,8 1,0.524,2,391,106.98,0.94,1.60,40,false,Unsafe,8 1,0.556,2,391,106.05,1.05,1.67,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_6_e3_294_e3_47.lus,Unsafe,13 3,0.725,2,576,48.88,1.15,0.73,40,false,Unsafe,10 1,0.697,2,510,49.12,1.14,0.71,40,false,Unsafe,10 1,0.690,2,511,49.73,1.16,0.71,40,false,Unsafe,13 3,0.804,2,576,108.08,1.25,2.30,40,false,Unsafe,13 3,0.825,2,576,108.28,1.26,2.48,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_all_e3_1068_e2_13.lus,Unsafe,,0.013,0,2,32.74,0.52,0.04,40,false,Unsafe,,0.014,0,2,45.15,0.56,0.05,40,false,Unsafe,,0.014,0,2,32.56,0.52,0.04,40,false,Unsafe,,0.013,0,2,60.32,0.54,0.07,40,false,Unsafe,,0.015,0,2,60.20,0.52,0.08,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_1_e8_725_e2_1144.lus,Safe,1,0.047,2,23,46.32,0.52,0.07,0,false,Safe,1,0.049,2,23,44.57,0.52,0.07,0,false,Safe,1,0.048,2,23,46.95,0.53,0.07,0,false,Safe,1,0.049,2,23,100.81,0.52,0.16,0,false,Safe,1,0.050,2,23,100.79,0.52,0.17,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_1_e7_1255_e7_12.lus,Safe,14 12 9,0.888,4,930,50.84,1.35,0.88,0,false,Safe,13 10,0.469,3,508,48.35,0.93,0.48,0,false,Safe,6 4 2,0.988,4,976,52.32,1.47,0.97,0,false,Safe,12 10 6,0.859,4,891,112.01,1.36,2.61,0,false,Safe,14 12 9,0.992,4,930,112.86,1.47,2.95,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_6_e1_152.lus,Safe,16 15 12 10 8 6 5 2,6.011,9,6365,64.28,6.45,5.93,0,false,Safe,23 22 19 18 15 13 11 5,6.230,9,6609,67.00,6.73,6.13,0,false,Safe,59 57 53 50 44 36 28 19 9,11.974,10,10346,74.16,12.44,11.84,0,false,Safe,24 23 21 20 19 17 13 6,4.076,9,4055,132.48,4.62,12.15,0,false,Safe,16 15 12 10 8 6 5 2,7.223,9,6212,150.68,7.65,21.51,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/PRODUCER_CONSUMER_vt_e2_1352.lus,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true,Timeout,,,,,,,,,true
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_5_e7_244_e1_823.lus,Safe,"30 28 26 24 21 20 18 15 14 10 9 6 5
                                            2",51.139,15,27858,116.52,51.61,50.46,0,false,Safe,"27 26 24 22 20 18 17 15 14 10 9 5 4
                                            2",40.481,15,23669,101.13,40.99,39.89,0,false,Safe,35 34 32 30 28 24 18 9,7.097,9,6435,65.96,7.56,7.04,0,false,Safe,18 17 14 12 10 7 6 3,6.190,9,5694,143.64,6.60,18.32,0,false,Safe,"31 29 27 25 22 21 19 16 15 11 10 6
                                            5 2",65.905,15,27923,305.16,66.28,195.71,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/car_all_e3_1068_e5_882.lus,Unsafe,,0.013,0,2,32.90,0.52,0.04,40,false,Unsafe,,0.013,0,2,32.78,0.43,0.04,40,false,Unsafe,,0.013,0,2,32.52,0.52,0.04,40,false,Unsafe,,0.013,0,2,60.26,0.53,0.07,40,false,Unsafe,,0.016,0,2,61.07,0.52,0.08,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/simulation/metros_4_e2_968_e2_1166.lus,Safe,8 6,0.289,3,279,47.66,0.75,0.30,0,false,Safe,13 9,0.478,3,484,49.04,0.93,0.49,0,false,Safe,7 5,0.265,3,264,47.91,0.73,0.28,0,false,Safe,6 4,0.210,3,186,102.79,0.64,0.67,0,false,Safe,8 6,0.291,3,279,105.10,0.73,0.87,0,false
