run_id,config_label,baseline_variant,filename,base__property_result,base__frame_sizes,base__total_time,base__k,base__solver,base__max_memory(MB),base__execution_time(s),base__cpu_time(s),base__exit_code,base__timed_out,asc_l1l2__property_result,asc_l1l2__frame_sizes,asc_l1l2__total_time,asc_l1l2__k,asc_l1l2__solver,asc_l1l2__max_memory(MB),asc_l1l2__execution_time(s),asc_l1l2__cpu_time(s),asc_l1l2__exit_code,asc_l1l2__timed_out,desc_l2l1__property_result,desc_l2l1__frame_sizes,desc_l2l1__total_time,desc_l2l1__k,desc_l2l1__solver,desc_l2l1__max_memory(MB),desc_l2l1__execution_time(s),desc_l2l1__cpu_time(s),desc_l2l1__exit_code,desc_l2l1__timed_out,pic3__property_result,pic3__frame_sizes,pic3__total_time,pic3__k,pic3__solver,pic3__max_memory(MB),pic3__execution_time(s),pic3__cpu_time(s),pic3__exit_code,pic3__timed_out,base_x3__property_result,base_x3__frame_sizes,base_x3__total_time,base_x3__k,base_x3__solver,base_x3__max_memory(MB),base_x3__execution_time(s),base_x3__cpu_time(s),base_x3__exit_code,base_x3__timed_out
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/swimmingpool_6_e7_399.lus,Unsafe,13 9 4,1.138,3,840,52.35,1.67,1.16,40,false,Unsafe,15 10 6 2,1.277,4,1031,52.25,1.77,1.25,40,false,Unsafe,9 7 3,0.626,3,486,49.15,1.04,0.65,40,false,Unsafe,4 3 2,0.335,3,229,105.29,0.84,1.09,40,false,Unsafe,13 9 4,1.206,3,840,117.93,1.67,3.64,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/rtp_4.lus,Safe,2,0.080,2,39,47.48,0.64,0.15,0,false,Safe,2,0.080,2,39,39.77,0.53,0.13,0,false,Safe,2,0.083,2,39,19.58,0.53,0.14,0,false,Safe,2,0.091,2,39,66.04,0.52,0.31,0,false,Safe,2,0.090,2,39,66.10,0.52,0.32,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/swimmingpool_1_e7_1621.lus,Unsafe,5 4,0.202,2,115,47.46,0.62,0.23,40,false,Unsafe,5 4,0.225,2,120,47.45,0.73,0.25,40,false,Unsafe,5 4,0.245,2,115,48.08,0.73,0.27,40,false,Unsafe,5 4,0.210,2,115,104.22,0.63,0.66,40,false,Unsafe,5 4,0.221,2,115,104.29,0.73,0.68,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/rtp_8.lus,Safe,1,0.056,2,25,43.12,0.52,0.11,0,false,Safe,1,0.058,2,24,49.19,0.52,0.10,0,false,Safe,1,0.057,2,25,31.95,0.53,0.10,0,false,Safe,1,0.057,2,25,20.21,0.52,0.21,0,false,Safe,1,0.057,2,25,25.08,0.54,0.23,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/swimmingpool_4.lus,Unsafe,3 2,0.129,2,84,46.41,0.63,0.15,40,false,Unsafe,2 1,0.104,2,56,34.16,0.64,0.13,40,false,Unsafe,3 2,0.134,2,84,47.56,0.64,0.16,40,false,Unsafe,3 2,0.136,2,84,102.43,0.52,0.39,40,false,Unsafe,3 2,0.139,2,84,103.06,0.64,0.46,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/peterson_all.lus,Safe,7,0.286,2,134,56.83,0.74,0.33,0,false,Safe,5,0.194,2,88,48.71,0.73,0.25,0,false,Safe,7,0.275,2,134,56.95,0.74,0.32,0,false,Safe,5,0.211,2,93,104.83,0.63,0.68,0,false,Safe,7,0.308,2,134,107.55,0.84,1.01,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/peterson_3.lus,Safe,2,0.098,2,41,48.43,0.63,0.16,0,false,Safe,2,0.097,2,41,48.06,0.63,0.15,0,false,Safe,2,0.097,2,41,35.05,0.63,0.14,0,false,Safe,2,0.099,2,41,66.41,0.64,0.34,0,false,Safe,2,0.102,2,41,106.56,0.63,0.35,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/swimmingpool_3.lus,Unsafe,1,0.091,1,50,47.72,0.64,0.15,40,false,Unsafe,0,0.061,1,27,43.90,0.52,0.09,40,false,Unsafe,1,0.094,1,52,43.51,0.53,0.14,40,false,Unsafe,1,0.086,1,50,100.25,0.53,0.26,40,false,Unsafe,1,0.101,1,50,96.70,0.53,0.34,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/swimmingpool_1.lus,Unsafe,8 6 4 2,0.949,4,660,50.82,1.48,0.97,40,false,Unsafe,11 9 7 3,1.166,4,808,51.64,1.67,1.16,40,false,Unsafe,9 7 5 2,0.863,4,628,50.91,1.36,0.88,40,false,Unsafe,8 6 4 2,0.976,4,660,112.48,1.36,2.96,40,false,Unsafe,8 6 4 2,0.993,4,660,115.04,1.46,2.99,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/swimmingpool_2.lus,Unsafe,,0.018,0,2,44.73,0.52,0.05,40,false,Unsafe,,0.019,0,2,43.52,0.52,0.05,40,false,Unsafe,,0.018,0,2,33.59,0.52,0.05,40,false,Unsafe,,0.018,0,2,62.50,0.52,0.09,40,false,Unsafe,,0.033,0,2,21.64,0.53,0.17,40,false
