filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/memory1/DRAGON_4_e7_2329_e3_4574.lus,Unsafe,0,0.072,1,9,58.45,0.52,0.27,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460_e1_1455.lus,Safe,1,0.055,2,27,99.64,0.52,0.19,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_4_e2_2799_e7_2499.lus,Unsafe,4,0.217,1,66,105.98,0.75,0.71,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_13.lus,Safe,17 12 9 7 5 4 3 2 1 0,32.740,11,15877,236.56,33.38,97.85,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e3_671_e4_147.lus,Unsafe,0,0.043,1,9,97.75,0.52,0.17,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_13_e7_2336_e2_1255.lus,Unsafe,,0.034,0,2,67.61,0.63,0.23,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460.lus,Unsafe,0,0.063,1,22,103.39,0.63,0.22,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_9_e7_170_e3_3647.lus,Safe,1,0.052,2,27,91.40,0.53,0.19,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e8_5861.lus,Unsafe,,0.030,0,2,65.52,0.52,0.17,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_all_e1_4022_e3_3628.lus,Safe,4,0.170,2,67,104.70,0.63,0.56,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_all2_e7_5406_e3_506.lus,Unsafe,,0.028,0,2,52.52,0.52,0.17,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_all_e2_2924_e1_768.lus,Safe,5,0.138,2,85,103.72,0.63,0.45,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e3_1753.lus,Safe,1,0.047,2,24,34.24,0.54,0.19,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_1_e2_1997.lus,Safe,2,0.089,2,43,104.86,0.63,0.32,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e4_1464.lus,Unsafe,10 4,0.648,2,473,110.36,1.15,1.97,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_7_e2_2872_e2_5844.lus,Safe,3,0.122,2,58,104.58,0.63,0.41,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_1_e1_5070.lus,Safe,1,0.061,2,25,51.05,0.52,0.23,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_10_e3_144_e5_2046.lus,Safe,2,0.093,2,39,66.73,0.52,0.33,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_all_e3_1600_e2_676.lus,Unsafe,0,0.048,1,9,100.23,0.52,0.18,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_all2_e2_2073_e8_3691.lus,Unsafe,,0.031,0,2,53.78,0.52,0.17,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_4_e3_1540_e1_5048.lus,Safe,26 22 16 9,2.732,5,2232,125.68,3.24,8.20,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_13_e7_2336_e3_3117.lus,Unsafe,,0.024,0,2,21.91,0.52,0.14,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e1_1979.lus,Unsafe,9 4,0.784,2,510,110.91,1.25,2.37,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_u1_e2_3403_e2_957.lus,Safe,19 15 11 7,2.087,5,1847,119.07,2.51,6.04,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_1a.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/FIREFLY_rt_e3_1770_e2_637.lus,Safe,10 8 5,0.616,4,602,109.35,1.05,1.85,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_14_e7_3162_e3_4298.lus,Unsafe,13 8,0.689,2,346,107.60,1.05,2.02,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_1_e2_1997_e7_3613_e2_3409.lus,Safe,1,0.066,2,25,52.17,0.52,0.25,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e3_671_e7_1882.lus,Unsafe,,0.019,0,2,64.35,0.54,0.11,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e3_1543.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/DRAGON_7_e7_3157_e2_2082.lus,Safe,3,0.137,2,60,104.38,0.63,0.45,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e1_1691.lus,Unsafe,0,0.044,1,9,93.97,0.52,0.17,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_all_e2_2924_e3_3946.lus,Unsafe,2,0.102,1,42,102.97,0.63,0.35,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e2_3049_e2_698.lus,Unsafe,0,0.046,1,9,34.74,0.52,0.20,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e2_1492.lus,Safe,2,0.071,2,41,93.34,0.52,0.24,0,false,base_x3
