filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/simulation/car_6_e3_294_e1_956.lus,Unsafe,10 1,0.657,2,492,49.53,1.14,0.66,40,false,base
FMCAD08/Int/simulation/car_3_e7_626_e1_305.lus,Unsafe,0,0.026,1,9,46.03,0.52,0.05,40,false,base
FMCAD08/Int/simulation/metros_5_e4_1208_e1_337.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/simulation/car_all_e3_1068.lus,Unsafe,,0.013,0,2,20.50,0.42,0.04,40,false,base
FMCAD08/Int/memory2/SYNAPSE_5_e2_1525.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/memory2/MOESI_2_e3_929_e2_2421.lus,Unsafe,,0.016,0,2,21.01,0.53,0.05,40,false,base
FMCAD08/Int/memory2/SYNAPSE_4_e8_974.lus,Safe,1,0.036,2,28,44.29,0.56,0.07,0,false,base
FMCAD08/Int/memory2/SYNAPSE_all.lus,Safe,4,0.071,2,68,46.37,0.52,0.09,0,false,base
FMCAD08/Int/memory2/MOESI_2_e7_2910_e2_611.lus,Unsafe,,0.017,0,2,32.82,0.53,0.05,40,false,base
FMCAD08/Int/memory2/MOESI_2.lus,Safe,1,0.040,2,22,46.68,0.54,0.06,0,false,base
FMCAD08/Int/memory2/ILLINOIS_2_e1_834.lus,Unsafe,,0.019,0,2,44.24,0.54,0.08,40,false,base
FMCAD08/Int/memory2/MESI_3_e1_2517_e8_2163.lus,Safe,9 7 4,0.698,4,639,51.25,1.16,0.71,0,false,base
FMCAD08/Int/memory2/MESI_i4_e8_1381_e1_1837.lus,Unsafe,4 2,0.132,2,115,47.06,0.63,0.16,40,false,base
FMCAD08/Int/memory2/MESI_1_e2_162_e7_1545.lus,Safe,1,0.037,2,27,44.32,0.53,0.06,0,false,base
FMCAD08/Int/memory2/MESI_i3_e1_447_e2_1098.lus,Unsafe,,0.013,0,2,20.89,0.53,0.05,40,false,base
FMCAD08/Int/memory2/SYNAPSE_5_e1_811.lus,Unsafe,0,0.028,1,9,46.55,0.52,0.05,40,false,base
FMCAD08/Int/memory2/SYNAPSE_123_e7_837_e2_1394.lus,Unsafe,,0.014,0,2,21.14,0.44,0.05,40,false,base
FMCAD08/Int/memory2/SYNAPSE_123_e8_953_e1_1128.lus,Unsafe,,0.015,0,2,20.89,0.54,0.05,40,false,base
FMCAD08/Int/memory2/ILLINOIS_2_e2_2367_e3_1601.lus,Unsafe,,0.018,0,2,46.14,0.52,0.06,40,false,base
FMCAD08/Int/memory2/MOESI_1_e2_982_e7_492.lus,Safe,2,0.052,2,41,46.27,0.52,0.07,0,false,base
FMCAD08/Int/memory2/MOESI_2_e3_929.lus,Safe,1,0.038,2,22,46.18,0.52,0.06,0,false,base
FMCAD08/Int/memory2/MESI_i4_e8_1381_e4_313.lus,Unsafe,4 2,0.134,2,115,46.58,0.62,0.15,40,false,base
FMCAD08/Int/memory2/MOESI_2_e1_1753_e1_1510.lus,Unsafe,,0.015,0,2,32.68,0.52,0.04,40,false,base
FMCAD08/Int/memory2/MESI_i1_e3_2145.lus,Unsafe,,0.015,0,2,44.72,0.53,0.06,40,false,base
FMCAD08/Int/memory2/MESI_all_e4_1147_e7_497.lus,Safe,3,0.062,2,56,46.12,0.53,0.09,0,false,base
FMCAD08/Int/memory2/MOESI_2_e7_2607.lus,Unsafe,,0.015,0,2,32.93,0.52,0.05,40,false,base
FMCAD08/Int/memory2/SYNAPSE_2_e8_1118_e2_237.lus,Unsafe,,0.013,0,2,32.70,0.53,0.04,40,false,base
