filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/memory1/FIREFLY_luke_1a_e2_284_e7_998.lus,Unsafe,3 2,0.139,2,76,103.99,0.63,0.47,40,false,pic3
FMCAD08/Int/memory1/DRAGON_10_e3_3429.lus,Safe,1,0.061,2,24,48.90,0.53,0.24,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e7_3191_e2_1864.lus,Unsafe,,0.020,0,2,77.70,0.52,0.11,40,false,pic3
FMCAD08/Int/memory1/DRAGON_13_e3_1418_e3_2761.lus,Safe,31 16,3.620,3,2348,133.46,4.07,8.84,0,false,pic3
FMCAD08/Int/memory1/DRAGON_10_e1_3587_e3_2749.lus,Safe,2,0.117,2,39,103.91,0.63,0.40,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_a3_e1_3233_e2_2392.lus,Safe,4,0.108,2,73,94.41,0.63,0.37,0,false,pic3
FMCAD08/Int/memory1/DRAGON_10_e3_144_e7_523.lus,Unsafe,,0.023,0,2,21.65,0.52,0.13,40,false,pic3
FMCAD08/Int/memory1/DRAGON_14_e3_5120.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_6.lus,Safe,1,0.063,2,25,88.30,0.52,0.23,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e7_3191_e7_2146.lus,Unsafe,,0.020,0,2,64.34,0.52,0.10,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_3_e1_2217_e3_1200.lus,Safe,14 11 8 4,0.827,5,830,111.49,1.25,2.45,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460_e7_471.lus,Unsafe,,0.019,0,2,94.95,0.53,0.11,40,false,pic3
FMCAD08/Int/memory1/DRAGON_11_e1_2450_e3_2330.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_5.lus,Safe,9 7 4,0.473,4,378,108.29,0.94,1.54,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e2_2673.lus,Safe,1,0.045,2,24,98.38,0.52,0.16,0,false,pic3
FMCAD08/Int/memory1/DRAGON_all2.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_11_e3_382_e4_4421.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/FIREFLY_all_e1_3406.lus,Unsafe,2,0.104,1,42,94.79,0.52,0.37,40,false,pic3
FMCAD08/Int/memory1/DRAGON_6_e7_5046_e7_3623.lus,Safe,1,0.061,2,25,56.12,0.52,0.24,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e1_1139_e1_1565.lus,Unsafe,0,0.042,1,9,97.66,0.53,0.16,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1a_e2_284_e2_2755.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/FIREFLY_a3_e2_2086_e1_3235.lus,Safe,4,0.106,2,69,103.32,0.63,0.37,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460_e3_1333.lus,Unsafe,0,0.042,1,9,93.84,0.52,0.16,40,false,pic3
FMCAD08/Int/memory1/DRAGON_all_e3_5957.lus,Safe,5,0.177,2,86,103.76,0.62,0.59,0,false,pic3
FMCAD08/Int/memory1/DRAGON_2_e2_3183_e1_2644.lus,Safe,1,0.063,2,22,44.31,0.54,0.24,0,false,pic3
FMCAD08/Int/memory1/DRAGON_12.lus,Safe,21 18 14 7,2.429,5,1829,125.12,3.03,7.51,0,false,pic3
FMCAD08/Int/memory1/DRAGON_all2_e7_5406_e2_3084.lus,Unsafe,,0.029,0,2,65.88,0.52,0.17,40,false,pic3
FMCAD08/Int/memory1/DRAGON_9_e7_1843_e1_5434.lus,Safe,2,0.091,2,41,104.56,0.64,0.32,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_3_e2_2236.lus,Safe,1,0.044,2,25,98.27,0.52,0.16,0,false,pic3
FMCAD08/Int/memory1/DRAGON_14_e7_3162_e2_753.lus,Unsafe,18 11,0.686,2,478,110.77,1.15,2.11,40,false,pic3
FMCAD08/Int/memory1/DRAGON_4_e3_4133.lus,Safe,24 19 10 1,2.888,4,2142,125.31,3.35,8.66,0,false,pic3
FMCAD08/Int/memory1/DRAGON_11_e1_2450_e1_5887.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_14_e2_3606.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/FIREFLY_a3_e1_3233_e3_2970.lus,Safe,4,0.113,2,73,94.71,0.53,0.38,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e2_2812.lus,Safe,1 0,0.169,2,119,102.04,0.52,0.45,0,false,pic3
FMCAD08/Int/memory1/DRAGON_all_e3_4821_e5_1536.lus,Safe,4,0.164,2,71,105.64,0.63,0.53,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_4.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_11.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/FIREFLY_all_e1_1207_e2_3220.lus,Safe,1 0,0.237,3,170,107.07,0.73,0.70,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_4_e2_325.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_8_e2_3896_e3_3125.lus,Safe,17 16 7 4,1.421,5,1031,116.68,1.98,4.52,0,false,pic3
FMCAD08/Int/memory1/DRAGON_3_e7_4884.lus,Unsafe,,0.023,0,2,57.77,0.52,0.13,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e1_1139_e3_1839.lus,Unsafe,0,0.056,1,17,101.95,0.52,0.20,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e3_422.lus,Safe,3 2,0.127,3,106,103.90,0.63,0.39,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e1_1489.lus,Safe,1,0.044,2,24,98.75,0.52,0.15,0,false,pic3
FMCAD08/Int/memory1/DRAGON_all_e1_4022_e7_2886.lus,Unsafe,,0.025,0,2,88.32,0.52,0.14,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_all_e3_1600_e4_2415.lus,Unsafe,1,0.089,1,31,94.07,0.52,0.30,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_5.lus,Safe,2,0.062,2,41,103.01,0.54,0.21,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_1.lus,Safe,1,0.042,2,20,98.54,0.53,0.16,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e7_3568.lus,Unsafe,,0.018,0,2,64.02,0.52,0.10,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_5_e2_2229.lus,Safe,1,0.046,2,25,99.11,0.52,0.16,0,false,pic3
FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e5_3642.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_5_e2_3018_e2_936.lus,Safe,9 7 4,0.469,4,380,108.00,0.94,1.48,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_2.lus,Safe,10 8 5,0.466,4,527,107.86,0.96,1.48,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_all_e1_1207_e3_1928.lus,Unsafe,1,0.078,1,27,94.41,0.52,0.27,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_all_e1_1207_e7_156.lus,Unsafe,,0.020,0,2,64.44,0.52,0.11,40,false,pic3
FMCAD08/Int/memory1/DRAGON_9_e7_1843_e3_5316.lus,Safe,1,0.063,2,25,26.75,0.53,0.23,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e5_3248.lus,Safe,3 2,0.125,3,101,103.62,0.63,0.39,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_1_e1_1092_e7_1119.lus,Unsafe,,0.019,0,2,28.39,0.55,0.13,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_a3_e2_2086_e2_2689.lus,Safe,4,0.113,2,73,94.54,0.63,0.38,0,false,pic3
FMCAD08/Int/memory1/DRAGON_14_e7_3162_e1_3998.lus,Unsafe,7 2,0.460,2,206,108.91,0.94,1.50,40,false,pic3
FMCAD08/Int/memory1/DRAGON_12_e2_1618_e2_138.lus,Safe,13 8 5 3,2.159,5,1647,122.34,2.61,6.32,0,false,pic3
FMCAD08/Int/memory1/DRAGON_12_e1_4640_e7_128.lus,Unsafe,,0.024,0,2,55.89,0.53,0.14,40,false,pic3
FMCAD08/Int/memory1/DRAGON_all2_e8_5504_e7_579.lus,Unsafe,,0.027,0,2,59.92,0.52,0.16,40,false,pic3
FMCAD08/Int/memory1/DRAGON_5_e1_1835.lus,Safe,9 7 4,0.517,4,398,108.44,0.94,1.62,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_u1_e7_3318.lus,Unsafe,0,0.059,1,15,97.20,0.52,0.21,40,false,pic3
FMCAD08/Int/memory1/DRAGON_13_e7_2336.lus,Unsafe,,0.023,0,2,90.04,0.52,0.13,40,false,pic3
FMCAD08/Int/memory1/DRAGON_11_e1_2450_e2_1483.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_5_e7_2017_e3_1763.lus,Unsafe,2,0.160,1,42,105.29,0.63,0.50,40,false,pic3
FMCAD08/Int/memory1/DRAGON_12_e2_1618_e7_4732.lus,Unsafe,,0.023,0,2,21.52,0.53,0.14,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_rt_e1_913_e3_2128.lus,Unsafe,0,0.062,1,22,99.36,0.52,0.22,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511.lus,Safe,2,0.073,2,43,100.88,0.55,0.28,0,false,pic3
FMCAD08/Int/memory1/DRAGON_2_e2_3183_e3_5972.lus,Safe,1,0.061,2,22,57.05,0.52,0.23,0,false,pic3
FMCAD08/Int/memory1/DRAGON_11_e1_2450.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_4_e7_2329_e3_4574.lus,Unsafe,0,0.061,1,9,105.28,0.64,0.25,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460_e1_1455.lus,Safe,1,0.051,2,27,99.08,0.52,0.18,0,false,pic3
FMCAD08/Int/memory1/DRAGON_4_e2_2799_e7_2499.lus,Unsafe,4,0.209,1,66,105.32,0.74,0.75,40,false,pic3
FMCAD08/Int/memory1/DRAGON_13.lus,Safe,37 32 20,10.303,4,5211,168.70,10.88,30.78,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e3_671_e4_147.lus,Unsafe,0,0.042,1,9,98.66,0.53,0.16,40,false,pic3
FMCAD08/Int/memory1/DRAGON_13_e7_2336_e2_1255.lus,Unsafe,,0.024,0,2,30.04,0.52,0.14,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460.lus,Unsafe,0,0.062,1,22,101.73,0.52,0.22,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_9_e7_170_e3_3647.lus,Safe,1,0.049,2,27,94.36,0.53,0.18,0,false,pic3
FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e8_5861.lus,Unsafe,,0.027,0,2,52.63,0.53,0.16,40,false,pic3
FMCAD08/Int/memory1/DRAGON_all_e1_4022_e3_3628.lus,Safe,4,0.163,2,67,105.39,0.63,0.53,0,false,pic3
FMCAD08/Int/memory1/DRAGON_all2_e7_5406_e3_506.lus,Unsafe,,0.028,0,2,59.89,0.52,0.16,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_all_e2_2924_e1_768.lus,Safe,5,0.131,2,85,103.54,0.64,0.44,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e3_1753.lus,Safe,1,0.044,2,24,20.13,0.53,0.16,0,false,pic3
FMCAD08/Int/memory1/DRAGON_1_e2_1997.lus,Safe,2,0.091,2,43,66.85,0.52,0.30,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e4_1464.lus,Unsafe,7 2,0.422,2,319,106.90,0.84,1.29,40,false,pic3
FMCAD08/Int/memory1/DRAGON_7_e2_2872_e2_5844.lus,Safe,3,0.118,2,58,104.02,0.63,0.39,0,false,pic3
FMCAD08/Int/memory1/DRAGON_1_e1_5070.lus,Safe,1,0.060,2,25,20.16,0.52,0.22,0,false,pic3
FMCAD08/Int/memory1/DRAGON_10_e3_144_e5_2046.lus,Safe,2,0.097,2,39,102.55,0.64,0.35,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_all_e3_1600_e2_676.lus,Unsafe,0,0.046,1,9,94.19,0.52,0.17,40,false,pic3
FMCAD08/Int/memory1/DRAGON_all2_e2_2073_e8_3691.lus,Unsafe,,0.028,0,2,69.69,0.53,0.16,40,false,pic3
FMCAD08/Int/memory1/DRAGON_4_e3_1540_e1_5048.lus,Safe,29 25 19 10,2.927,5,2365,127.31,3.46,8.95,0,false,pic3
FMCAD08/Int/memory1/DRAGON_13_e7_2336_e3_3117.lus,Unsafe,,0.023,0,2,31.26,0.53,0.14,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e1_1979.lus,Unsafe,10 5,0.831,2,561,110.79,1.26,2.38,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_u1_e2_3403_e2_957.lus,Safe,20 16 9,1.353,4,1308,113.57,1.77,3.85,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1a.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/FIREFLY_rt_e3_1770_e2_637.lus,Safe,10 8 5,0.570,4,602,108.27,1.06,1.79,0,false,pic3
FMCAD08/Int/memory1/DRAGON_14_e7_3162_e3_4298.lus,Unsafe,14 8,0.707,2,413,109.43,1.15,2.03,40,false,pic3
